year,month,monthly_revenue
2003,1,116692.77
2003,2,128403.64
2003,3,160517.14
2003,4,185848.59
2003,5,179435.55
2003,6,150470.77
2003,7,201940.36
2003,8,178257.11
2003,9,236697.85
2003,10,514336.21
2003,11,988025.15
2003,12,276723.25
2004,1,292385.21
2004,2,289502.84
2004,3,217691.26
2004,4,187575.77
2004,5,248325.30
2004,6,343370.74
2004,7,325563.49
2004,8,419327.09
2004,9,283799.80
2004,10,500233.86
2004,11,979291.98
2004,12,428838.17
2005,1,307737.02
2005,2,317192.17
2005,3,359711.96
2005,4,344820.62
2005,5,441474.94
